fichier,species,t_start,t_end,duration,mean_confidence
sequence_11.wav,Baleine à bosse,129.0,134.0,5.0,0.629
sequence_11.wav,Baleine à bosse,143.0,145.0,2.0,0.753
sequence_12.wav,Baleine à bosse,19.0,25.0,6.0,0.712
sequence_12.wav,Baleine à bosse,127.0,132.0,5.0,0.682
sequence_12.wav,Baleine à bosse,137.0,142.0,5.0,0.815
sequence_12.wav,Baleine à bosse,165.0,169.0,4.0,0.64
sequence_12.wav,Baleine à bosse,191.0,193.0,2.0,0.762
sequence_13.wav,Baleine à bosse,27.0,33.0,6.0,0.767
sequence_13.wav,Baleine à bosse,37.0,42.0,5.0,0.853
sequence_13.wav,Baleine à bosse,44.0,53.0,9.0,0.802
sequence_13.wav,Baleine à bosse,218.0,224.0,6.0,0.737
sequence_15.wav,Baleine à bosse,21.0,27.0,6.0,0.699
sequence_15.wav,Baleine à bosse,33.0,38.0,5.0,0.723
sequence_15.wav,Baleine à bosse,81.0,84.0,3.0,0.625
sequence_15.wav,Béluga,110.0,113.0,3.0,0.595
sequence_15.wav,Baleine à bosse,112.0,115.0,3.0,0.829
sequence_15.wav,Baleine à bosse,117.0,123.0,6.0,0.867
sequence_15.wav,Baleine à bosse,161.0,171.0,10.0,0.792
sequence_15.wav,Baleine à bosse,177.0,184.0,7.0,0.784
sequence_15.wav,Baleine à bosse,224.0,226.0,2.0,0.755
sequence_16.wav,Baleine à bosse,13.0,18.0,5.0,0.723
sequence_16.wav,Baleine à bosse,24.0,29.0,5.0,0.8
sequence_16.wav,Baleine à bosse,77.0,81.0,4.0,0.583
sequence_16.wav,Baleine à bosse,171.0,176.0,5.0,0.668
sequence_16.wav,Baleine à bosse,190.0,195.0,5.0,0.691
sequence_16.wav,Baleine à bosse,215.0,221.0,6.0,0.674
sequence_16.wav,Baleine à bosse,229.0,234.0,5.0,0.668
sequence_16.wav,Baleine à bosse,246.0,251.0,5.0,0.766
sequence_16.wav,Baleine à bosse,262.0,267.0,5.0,0.71
sequence_16.wav,Baleine à bosse,282.0,284.0,2.0,0.753
sequence_17.wav,Baleine à bosse,0.0,3.0,3.0,0.581
sequence_17.wav,Baleine à bosse,8.0,24.0,16.0,0.666
sequence_17.wav,Baleine à bosse,132.0,138.0,6.0,0.744
sequence_17.wav,Baleine à bosse,173.0,194.0,21.0,0.768
sequence_17.wav,Baleine à bosse,233.0,235.0,2.0,0.755
sequence_20.wav,Baleine à bosse,18.0,23.0,5.0,0.872
sequence_20.wav,Baleine à bosse,87.0,92.0,5.0,0.726
sequence_20.wav,Baleine à bosse,182.0,185.0,3.0,0.6
sequence_20.wav,Baleine à bosse,213.0,218.0,5.0,0.795
sequence_20.wav,Béluga,223.0,226.0,3.0,0.567
sequence_20.wav,Baleine à bosse,224.0,229.0,5.0,0.589
sequence_20.wav,Baleine à bosse,235.0,237.0,2.0,0.753
sequence_22.wav,Baleine à bosse,24.0,29.0,5.0,0.678
sequence_22.wav,Baleine à bosse,88.0,100.0,12.0,0.735
sequence_22.wav,Baleine à bosse,216.0,218.0,2.0,0.754
sequence_23.wav,Baleine à bosse,142.0,145.0,3.0,0.664
sequence_23.wav,Béluga,143.0,146.0,3.0,0.586
sequence_23.wav,Baleine à bosse,145.0,149.0,4.0,0.771
sequence_23.wav,Baleine à bosse,155.0,162.0,7.0,0.696
sequence_23.wav,Béluga,189.0,192.0,3.0,0.572
sequence_23.wav,Baleine à bosse,202.0,205.0,3.0,0.573
sequence_23.wav,Baleine à bosse,252.0,255.0,3.0,0.604
sequence_23.wav,Baleine à bosse,261.0,263.0,2.0,0.766
sequence_26.wav,Baleine à bosse,7.0,10.0,3.0,0.733
sequence_26.wav,Baleine à bosse,12.0,15.0,3.0,0.73
sequence_26.wav,Baleine à bosse,26.0,36.0,10.0,0.766
sequence_26.wav,Baleine à bosse,40.0,43.0,3.0,0.595
sequence_26.wav,Baleine à bosse,45.0,49.0,4.0,0.645
sequence_26.wav,Baleine à bosse,80.0,85.0,5.0,0.836
sequence_26.wav,Baleine à bosse,98.0,101.0,3.0,0.568
sequence_26.wav,Baleine à bosse,103.0,111.0,8.0,0.749
sequence_26.wav,Béluga,128.0,133.0,5.0,0.64
sequence_26.wav,Baleine à bosse,136.0,142.0,6.0,0.796
sequence_26.wav,Baleine à bosse,148.0,154.0,6.0,0.746
sequence_26.wav,Baleine à bosse,165.0,167.0,2.0,0.767
sequence_27.wav,Baleine à bosse,8.0,15.0,7.0,0.724
sequence_27.wav,Baleine à bosse,27.0,31.0,4.0,0.722
sequence_27.wav,Baleine à bosse,42.0,45.0,3.0,0.559
sequence_27.wav,Baleine à bosse,52.0,56.0,4.0,0.619
sequence_27.wav,Baleine à bosse,60.0,66.0,6.0,0.762
sequence_27.wav,Baleine à bosse,74.0,79.0,5.0,0.776
sequence_27.wav,Baleine à bosse,81.0,86.0,5.0,0.643
sequence_27.wav,Baleine à bosse,115.0,120.0,5.0,0.672
sequence_27.wav,Baleine à bosse,154.0,159.0,5.0,0.824
sequence_27.wav,Béluga,191.0,194.0,3.0,0.581
sequence_27.wav,Baleine à bosse,240.0,242.0,2.0,0.754
sequence_30.wav,Baleine à bosse,14.0,20.0,6.0,0.722
sequence_30.wav,Baleine à bosse,69.0,75.0,6.0,0.725
sequence_30.wav,Baleine à bosse,78.0,83.0,5.0,0.814
sequence_30.wav,Baleine à bosse,128.0,132.0,4.0,0.679
sequence_30.wav,Baleine à bosse,135.0,144.0,9.0,0.758
sequence_30.wav,Baleine à bosse,169.0,179.0,10.0,0.811
sequence_30.wav,Baleine à bosse,195.0,203.0,8.0,0.829
sequence_30.wav,Baleine à bosse,221.0,229.0,8.0,0.718
